descricao_transacao,valor_transacao,categoria
Pagamento de fatura - Condomínio Edifício Bela Vista (uso pessoal),346.11,Moradia
Rendimento de fundo de investimento,2240.29,Receitas
Compra em Taxa Municipal (compra à vista),2737.01,Impostos
13º salário - segunda parcela,11787.35,Receitas
Pagamento - Studio de Manicure Nail Art (compra à vista),372.63,Serviços
Transação - Padaria Pão Quente (unidade centro),475.19,Alimentação
Consumo em Starbucks (loja shopping),250.89,Alimentação
Pagamento de fatura - Zona Azul (compra à vista),11.07,Transporte
Pagamento - Coffee Lab,253.01,Alimentação
Serviço prestado - Ingresso.com - Show (loja shopping),282.68,Lazer
Compra online - Starbucks (unidade próxima),647.32,Alimentação
Serviço prestado - VLT,412.71,Transporte
Compra em Estapar Estacionamento (compra à vista),22.5,Transporte
Transação - CPFL Energia,5715.29,Moradia
Pagamento de conta - VLT (compra do mês),280.72,Transporte
PIX - recebimento,666.79,Receitas
Despesa - Rico Investimentos - Aporte (compra à vista),75.08,Investimentos
Débito - Riachuelo (unidade próxima),667.66,Compras
Compra em Clínica Odontológica Sorriso (via cartão),922.75,Saúde
Serviço prestado - Metrô (unidade próxima),171.98,Transporte
Despesa - Borracharia Central (via cartão),281.06,Transporte
Pagamento - Açougue Casa da Carne (uso pessoal),93.03,Alimentação
13º salário - primeira parcela,11523.82,Receitas
Pagamento de conta - Shell (compra do mês),256.98,Transporte
Restituição de Imposto de Renda,577.08,Receitas
Compra em Imposto de Renda - DARF (compra à vista),772.98,Impostos
Freelance - projeto 4,1426.61,Receitas
Pagamento de conta - Subway (loja shopping),36.92,Alimentação
Depósito de salário,4614.54,Receitas
Serviço prestado - Droga Raia (unidade próxima),1650.25,Saúde
Compra em Consultório Dentário Dr. Souza (unidade próxima),1108.1,Saúde
Transação - Despachante Rápido (unidade centro),169.72,Outros
Pagamento de fatura - AliExpress (loja shopping),1784.16,Compras
Compra online - Metrô (compra do mês),72.01,Transporte
Serviço prestado - Telhanorte (pedido via app),709.38,Moradia
Débito - Habib's (unidade próxima),561.77,Alimentação
Salário mensal - Professor,4757.69,Receitas
Pagamento - Taxa de Condomínio (unidade próxima),1996.45,Moradia
Compra online - Taxa de Condomínio (uso pessoal),720.01,Moradia
Débito - Latam Viagens (compra à vista),83.05,Lazer
Pagamento - Restaurante Self-Service (loja shopping),637.06,Alimentação
Consumo em Salão de Beleza Charme (pedido via app),141.27,Serviços
Consumo em Centauro,1106.03,Compras
Consumo em Cafeteria do Bairro (unidade centro),855.8,Alimentação
Depósito de salário,4672.16,Receitas
Pagamento de conta - AliExpress (parcelado em 6x),671.56,Compras
Débito - Sabesp,5973.3,Moradia
Compra em iFood (uso pessoal),222.57,Alimentação
Consumo em InDriver (compra do mês),36.11,Transporte
Renovação de assinatura - Bluefit,133.16,Saúde
Serviço prestado - Ingresso.com - Show (unidade próxima),468.02,Lazer
Pagamento de salário - Julho,4911.56,Receitas
Pagamento - Salão de Beleza Charme (compra do mês),237.04,Serviços
Renovação de assinatura - Colégio Anglo (plano mensal),1789.2,Educação
Compra online - Comgás (loja shopping),4944.45,Moradia
Pagamento de conta - IPTU,3082.88,Impostos
Serviço prestado - Papelaria Central (uso pessoal),64.87,Educação
Pagamento de conta - Imposto de Renda - DARF (unidade próxima),772.18,Impostos
Recebimento de freelance,5716.41,Receitas
Compra online - CDB Banco Inter (unidade próxima),3577.67,Investimentos
Despesa - Uber Eats (uso pessoal),154.57,Alimentação
Serviço prestado - Consultório Dentário Dr. Souza,405.45,Saúde
Pagamento - Pague Menos (compra do mês),1303.53,Saúde
Pagamento de conta - Amazon (unidade próxima),359.46,Compras
Compra online - Presente Aniversário (loja shopping),356.01,Outros
Depósito de salário,9020.46,Receitas
Compra online - BTG Pactual - Aporte,4281.15,Investimentos
Pagamento de conta - Açougue Boi Gordo (compra à vista),228.37,Alimentação
Serviço prestado - Casas Bahia (uso pessoal),176.65,Compras
Cobrança recorrente - Oi (fatura do mês),84.05,Serviços
Débito automático - Claro (via cartão cadastrado),61.71,Serviços
Pagamento - Correios (compra do mês),15.46,Serviços
Débito - Correios (uso pessoal),484.28,Serviços
Freelance - projeto 81,1907.79,Receitas
Freelance - projeto 49,7908.4,Receitas
Despesa - CVC Viagens (loja shopping),525.64,Lazer
Despesa - XP Investimentos - Aporte (via cartão),564.42,Investimentos
Compra online - Latam Viagens (unidade centro),515.75,Lazer
Consumo em CDB Banco Inter (unidade próxima),3148.3,Investimentos
Venda de produto usado,763.76,Receitas
Pagamento de salário - Janeiro,8633.76,Receitas
Compra em CPFL Energia (compra à vista),3914.59,Moradia
Despesa - Açougue Central (pedido via app),712.25,Alimentação
Renovação de assinatura - Disney+ (plano mensal),45.55,Lazer
Débito - Barbearia Vintage (uso pessoal),287.51,Serviços
Pagamento de fatura - Sabesp (via cartão),5003.98,Moradia
Consumo em Supermercado São Vicente (uso pessoal),30.22,Alimentação
Consumo em Padaria Pão Quente (loja shopping),781.31,Alimentação
Compra online - Zona Azul (unidade centro),360.8,Transporte
Transação - C&A (loja shopping),670.51,Compras
Salário mensal - Analista Financeiro,8917.47,Receitas
Depósito de salário,8544.73,Receitas
Pagamento de fatura - VLT (compra à vista),299.93,Transporte
Débito - Vivo Fibra (unidade centro),2520.35,Moradia
Pagamento de fatura - Coffee Lab (pedido via app),595.5,Alimentação
Consumo em Pub Cervejaria Artesanal (via cartão),323.49,Lazer
PIX recebido de terceiro,2709.97,Receitas
Serviço prestado - Clínica Vida Saudável (compra à vista),651.97,Saúde
Compra em Supermercado São Vicente (unidade próxima),58.17,Alimentação
Débito - Big Bompreço (via cartão),486.07,Alimentação
Débito - Rappi (via cartão),362.45,Alimentação
Rendimento de investimento - CDB,2821.49,Receitas
Débito - Uber (pedido via app),26.86,Transporte
Pagamento de décimo terceiro salário,2871.75,Receitas
Pagamento de conta - Americanas,211.21,Compras
Assinatura mensal - Amil (renovação do plano),1767.64,Saúde
Pagamento de salário - Novembro,7436.84,Receitas
Serviço prestado - Petz (compra do mês),114.2,Pets
Serviço prestado - Estapar Estacionamento (unidade próxima),269.72,Transporte
Serviço prestado - VLT (compra do mês),122.36,Transporte
Pagamento de fatura - Hotmart - Curso Online (compra do mês),1342.38,Educação
Transação - Cartório Central (loja shopping),896.81,Outros
Salário mensal - Analista de TI,7312.09,Receitas
Despesa - Ônibus Urbano (via cartão),190.76,Transporte
Pagamento - Kabum (compra do mês),287.48,Compras
Pagamento - Borracharia Central (compra do mês),336.77,Transporte
Depósito de salário,7480.69,Receitas
Pagamento - Despachante Rápido (compra à vista),248.88,Outros
Serviço prestado - Shopee (parcelado em 5x),1092.81,Compras
Despesa - Centauro (loja shopping),1574.96,Compras
Débito - Boteco da Esquina (parcelado em 2x),1263.9,Lazer
Transação - Magazine Luiza (uso pessoal),1378.59,Compras
Compra em Fast Shop (unidade próxima),1602.87,Compras
Transação - Açougue Casa da Carne (pedido via app),573.98,Alimentação
Débito automático - Smart Fit,107.49,Saúde
Despesa - Livraria Saraiva,1680.25,Educação
Recebimento de freelance,3835.14,Receitas
Pagamento de fatura - Pub Cervejaria Artesanal (unidade próxima),256.49,Lazer
13º salário - primeira parcela,8648.32,Receitas
Débito automático - iCloud Armazenamento (fatura do mês),495.06,Serviços
Débito - Açougue Boi Gordo (unidade centro),194.12,Alimentação
Depósito de salário,19786.08,Receitas
Aluguel recebido - imóvel próprio,2856.44,Receitas
Despesa - Padaria Estrela (compra do mês),379.08,Alimentação
Pagamento de conta - Magazine Luiza (uso pessoal),1462.88,Compras
Serviço prestado - Uber Eats (unidade centro),388.91,Alimentação
Cobrança recorrente - Bradesco Saúde (via cartão cadastrado),1543.68,Saúde
Compra online - Imposto de Renda - DARF (loja shopping),2569.19,Impostos
Serviço prestado - Shopee (uso pessoal),906.58,Compras
Despesa - Açougue Boi Gordo,842.11,Alimentação
Serviço prestado - Condomínio Edifício Bela Vista (pedido via app),1122.76,Moradia
Despesa - Comgás (pedido via app),1465.32,Moradia
Serviço prestado - Subway (compra do mês),491.11,Alimentação
Débito - Açougue Casa da Carne (loja shopping),29.7,Alimentação
Compra online - InDriver (unidade próxima),74.66,Transporte
Depósito de salário,19170.26,Receitas
Pagamento de fatura - Posto BR Mania,486.23,Transporte
Consumo em Correios,129.25,Serviços
Pagamento por serviço prestado (freelance),7912.35,Receitas
Salário mensal - Médico,18675.18,Receitas
Débito - Embasa,774.46,Moradia
Rendimento de investimento - CDB,2890.41,Receitas
Pagamento de fatura - Starbucks (unidade próxima),205.12,Alimentação
Cobrança recorrente - Smart Fit (plano mensal),152.08,Saúde
Compra em Estapar Estacionamento,496.66,Transporte
Despesa - Drogasil (via cartão),142.65,Saúde
Débito - Zona Azul,56.03,Transporte
Cobrança recorrente - Bradesco Saúde,433.32,Saúde
Transação - Taxa Municipal (pedido via app),1543.61,Impostos
Despesa - Restaurante Cantina Italiana (loja shopping),140.34,Alimentação
Compra online - Telhanorte (uso pessoal),3108.47,Moradia
Pagamento - Posto BR Mania (via cartão),127.47,Transporte
PLR - Participação nos Lucros,1773.14,Receitas
Depósito de salário,4879.48,Receitas
Pagamento de salário - Outubro,5328.68,Receitas
Pagamento de fatura - Bob's (pedido via app),143.27,Alimentação
Mensalidade - SulAmérica Seguros (cobrança automática),146.34,Serviços
Pagamento - Consultório Dentário Dr. Souza (compra à vista),427.56,Saúde
Pagamento de fatura - Auto Center Roda Viva (uso pessoal),55.71,Transporte
Compra em Bob's (unidade próxima),207.0,Alimentação
Pagamento - Pub Cervejaria Artesanal (loja shopping),1480.91,Lazer
Restituição - Receita Federal,391.95,Receitas
Pagamento de conta - Açougue Central,314.51,Alimentação
Compra online - Fundo Imobiliário - Aporte (unidade próxima),1262.97,Investimentos
Depósito de salário,5184.9,Receitas
Recebimento de dividendos,90.25,Receitas
Transação - Uber Eats,461.01,Alimentação
Compra online - Shopee (compra à vista),1461.17,Compras
Consumo em Metrô (uso pessoal),475.23,Transporte
Transação - Estapar Estacionamento (compra do mês),113.57,Transporte
Compra em Estapar Estacionamento (loja shopping),297.1,Transporte
Transação - UCI Cinemas (pedido via app),789.71,Lazer
Pagamento de conta - Ingresso.com - Show (via cartão),580.02,Lazer
Débito - Alura (uso pessoal),2411.28,Educação
PIX - recebimento,1963.55,Receitas
Pagamento de salário - Fevereiro,5217.0,Receitas
Serviço prestado - Boteco da Esquina (loja shopping),236.0,Lazer
Despesa - UCI Cinemas (compra à vista),635.65,Lazer
Despesa - Centauro (via cartão),491.71,Compras
Despesa - Comgás (uso pessoal),5075.96,Moradia
Compra em Kinoplex (via cartão),1147.14,Lazer
Compra online - Estapar Estacionamento (via cartão),491.26,Transporte
Débito - Condomínio Edifício Bela Vista (via cartão),4725.48,Moradia
Serviço prestado - Bilhete Único (via cartão),78.35,Transporte
Pagamento de salário - Abril,5004.2,Receitas
Pagamento de fatura - Ultragaz (compra do mês),3161.53,Moradia
Pagamento de conta - 99 (compra do mês),32.76,Transporte
Transação - Mercado Livre (pedido via app),334.25,Compras
Transação - Carrefour (compra do mês),156.62,Alimentação
Cobrança recorrente - Spotify (via cartão cadastrado),30.51,Lazer
Transação - Correios,446.3,Serviços
Serviço prestado - Uber Eats (compra do mês),812.61,Alimentação
Débito - Hospital São Lucas (unidade centro),668.0,Saúde
Serviço prestado - Fast Shop (pedido via app),174.93,Compras
Serviço prestado - Leroy Merlin (uso pessoal),865.19,Moradia
Transação - Coffee Lab (unidade próxima),66.45,Alimentação
Compra online - Borracharia Central (unidade centro),47.39,Transporte
Pagamento de fatura - Padaria Estrela (unidade próxima),228.66,Alimentação
Assinatura mensal - Microsoft 365,24.77,Serviços
Consumo em Estacionamento Multipark (pedido via app),47.42,Transporte
Assinatura mensal - iCloud Armazenamento (renovação do plano),173.93,Serviços
Venda online - Marketplace,1463.96,Receitas
Compra em Clínica Médica Bem Estar (uso pessoal),1936.64,Saúde
Pagamento de conta - Farmácia São João (loja shopping),1511.73,Saúde
Transação - IPTU (unidade centro),1366.72,Impostos
Pagamento de fatura - McDonald's (compra do mês),174.08,Alimentação
13º salário - primeira parcela,13841.71,Receitas
Consumo em Clínica Odontológica Sorriso (compra à vista),1670.39,Saúde
Pagamento de conta - Latam Viagens (unidade centro),1133.86,Lazer
Consumo em Coffee Lab (unidade centro),178.46,Alimentação
Pagamento - Coffee Lab (loja shopping),395.25,Alimentação
Mensalidade - Bluefit,121.38,Saúde
Compra online - Tesouro Direto - Aplicação (compra à vista),3455.72,Investimentos
Cobrança recorrente - Spotify,22.69,Lazer
Depósito de salário,6696.62,Receitas
Salário mensal - Professor,6826.1,Receitas
Restituição - Receita Federal,2889.48,Receitas
Pagamento de fatura - Uber Eats (unidade próxima),571.2,Alimentação
Pagamento de conta - InDriver (uso pessoal),37.45,Transporte
Pagamento - Oficina Mecânica Silva (compra do mês),141.18,Transporte
Compra online - McDonald's (uso pessoal),81.7,Alimentação
Recebimento por venda,3612.09,Receitas
Despesa - Padaria e Confeitaria Doce Vida (uso pessoal),691.36,Alimentação
Mensalidade - Microsoft 365 (cobrança automática),119.15,Serviços
Pagamento - Renner (uso pessoal),234.26,Compras
PIX recebido de terceiro,1585.12,Receitas
Despesa - Taxa de Condomínio (via cartão),711.72,Moradia
Compra online - Fast Shop (parcelado em 6x),2221.41,Compras
Consumo em Correios,43.29,Serviços
Pagamento de fatura - Sabesp (via cartão),3673.4,Moradia
Aluguel recebido - imóvel próprio,4893.75,Receitas
Pagamento - Cedae,2067.55,Moradia
Pagamento de fatura - InDriver (via cartão),18.72,Transporte
Transação - Cinemark (via cartão),1554.75,Lazer
Transação - Vivo Fibra (uso pessoal),127.65,Moradia
Despesa - Açougue Central,741.03,Alimentação
Consumo em Uber (compra à vista),78.66,Transporte
Consumo em Açougue Central (uso pessoal),83.23,Alimentação
Serviço prestado - Mercado Livre (pedido via app),2264.64,Compras
Transação - Açougue Boi Gordo (compra do mês),420.73,Alimentação
Compra online - AliExpress,879.91,Compras
Pagamento - Sympla - Evento (uso pessoal),787.68,Lazer
Depósito de salário,5855.96,Receitas
Compra online - Ônibus Urbano (loja shopping),58.83,Transporte
Pagamento de décimo terceiro salário,6449.0,Receitas
Débito - Cafeteria do Bairro (pedido via app),328.24,Alimentação
Pagamento de conta - Coffee Lab (unidade centro),658.66,Alimentação
Despesa - Borracharia Central (pedido via app),297.24,Transporte
Compra online - InDriver (unidade centro),34.57,Transporte
Consumo em Starbucks (pedido via app),179.09,Alimentação
Pagamento - Decolar.com (parcelado em 6x),1399.61,Lazer
Cobrança recorrente - Google One (plano mensal),304.2,Serviços
Transação - Consultório Dentário Dr. Souza (pedido via app),1782.55,Saúde
Pagamento de salário - Julho,5935.28,Receitas
Pagamento - Padaria e Confeitaria Doce Vida (uso pessoal),258.06,Alimentação
Despesa - Casas Bahia (pedido via app),1441.85,Compras
Recebimento de freelance,7204.22,Receitas
Serviço prestado - Claro Residencial (pedido via app),1607.17,Moradia
Assinatura mensal - Colégio Objetivo (fatura do mês),2709.2,Educação
Compra online - Shell (compra do mês),207.23,Transporte
Pagamento de conta - Restaurante Self-Service (uso pessoal),844.02,Alimentação
Compra online - Cinemark (unidade próxima),1407.77,Lazer
Consumo em UCI Cinemas (pedido via app),1049.3,Lazer
Compra online - Padaria e Confeitaria Doce Vida (uso pessoal),766.53,Alimentação
Débito automático - Bradesco Saúde (cobrança automática),1312.93,Saúde
Serviço prestado - Burger King (unidade centro),786.26,Alimentação
Recebimento de aluguel de imóvel,4257.41,Receitas
Assinatura mensal - Oi (renovação do plano),75.58,Serviços
Depósito de salário,15118.62,Receitas
Dividendos - Ações B3,1104.33,Receitas
Débito - Papelaria Central (parcelado em 3x),199.26,Educação
Débito - Oi Fibra (compra do mês),2760.84,Moradia
Despesa - Zona Azul (unidade centro),212.77,Transporte
Débito automático - Porto Seguro (plano mensal),41.67,Serviços
Serviço prestado - iFood (unidade próxima),636.14,Alimentação
Consumo em Americanas (compra à vista),1451.92,Compras
Pagamento de salário - Junho,15050.67,Receitas
Débito - Padaria Estrela (loja shopping),377.07,Alimentação
Transação - IPVA,578.12,Impostos
Bonificação por desempenho,762.6,Receitas
Pagamento de conta - Mercado Livre (compra do mês),1667.6,Compras
13º salário - segunda parcela,6389.08,Receitas
Pagamento de fatura - NuInvest - Aporte (compra do mês),4992.99,Investimentos
Salário mensal - Motoboy,3710.24,Receitas
Salário mensal - Motoboy,3885.75,Receitas
Pagamento de fatura - BTG Pactual - Aporte (compra à vista),3124.86,Investimentos
Compra em Restaurante Cantina Italiana (pedido via app),411.0,Alimentação
Débito - Latam Viagens,1353.31,Lazer
Compra em Açougue Casa da Carne (uso pessoal),628.52,Alimentação
Pagamento - Padaria Estrela (compra do mês),148.04,Alimentação
Transação - Assaí (loja shopping),738.53,Alimentação
Cobrança recorrente - Bradesco Seguros (fatura do mês),120.88,Serviços
Venda de produto usado,2281.57,Receitas
Despesa - Açougue Boi Gordo (compra do mês),437.5,Alimentação
Rendimento de investimento - CDB,4581.38,Receitas
Pagamento de fatura - Petz (via cartão),42.95,Pets
Transação - Sympla - Evento (compra à vista),655.95,Lazer
Pagamento - NuInvest - Aporte (pedido via app),2883.74,Investimentos
Débito - McDonald's (loja shopping),772.73,Alimentação
Débito - QuintoAndar - Aluguel (pedido via app),1773.66,Moradia
Pagamento de fatura - Tesouro Direto - Aplicação (loja shopping),469.79,Investimentos
Despesa - Atacadão (via cartão),383.12,Alimentação
Consumo em Hospital São Lucas (unidade centro),1278.57,Saúde
Venda online - Marketplace,3124.37,Receitas
Depósito de salário,3707.85,Receitas
Transação - Padaria Estrela (loja shopping),279.75,Alimentação
Salário mensal - Motoboy,3724.47,Receitas
Compra em Taxa Bancária (unidade próxima),467.52,Outros
Consumo em McDonald's (compra do mês),225.33,Alimentação
Pagamento - Clínica Veterinária Vida Animal (compra à vista),66.41,Pets
Débito - Padaria e Confeitaria Doce Vida (unidade próxima),882.16,Alimentação
Pagamento de fatura - CPFL Energia (compra à vista),3071.76,Moradia
Pagamento de salário - Abril,3868.29,Receitas
Pagamento de fatura - Açougue Casa da Carne (via cartão),620.75,Alimentação
Consumo em Presente Aniversário (loja shopping),175.47,Outros
Pagamento - iFood (compra à vista),868.31,Alimentação
Pagamento de fatura - Condomínio Edifício Bela Vista (compra do mês),3843.68,Moradia
Pagamento - Auto Center Roda Viva (unidade próxima),263.54,Transporte
Pagamento - Correios (uso pessoal),377.18,Serviços
Transação - 99 (pedido via app),14.69,Transporte
Pagamento - Bob's,612.95,Alimentação
Despesa - Livraria Cultura (pedido via app),839.09,Educação
Compra em Droga Raia (parcelado em 6x),302.63,Saúde
Salário mensal - Recepcionista,2058.7,Receitas
Consumo em Boteco da Esquina (via cartão),1034.2,Lazer
Consumo em Ipiranga (via cartão),202.81,Transporte
Débito automático - Porto Seguro,186.8,Serviços
Débito automático - Bradesco Seguros (fatura do mês),91.28,Serviços
Compra em Açougue Boi Gordo (uso pessoal),215.9,Alimentação
Compra online - Clínica Vida Saudável (unidade centro),1417.1,Saúde
Despesa - Zona Azul (via cartão),497.53,Transporte
Pagamento de conta - Enel (unidade centro),4957.73,Moradia
Recebimento de aluguel de imóvel,4411.6,Receitas
Débito - Subway (pedido via app),455.61,Alimentação
Compra online - Cobasi (unidade centro),453.32,Pets
Serviço prestado - Cinemark (pedido via app),1631.0,Lazer
Pagamento - Taxa Bancária (loja shopping),579.72,Outros
Transação - Auto Center Roda Viva (uso pessoal),247.67,Transporte
Pagamento de conta - IPTU (uso pessoal),2667.76,Impostos
Pagamento de conta - Renner (unidade centro),1253.12,Compras
Despesa - Coursera (pedido via app),1927.75,Educação
Pagamento de conta - Americanas (unidade próxima),88.21,Compras
Consumo em Cafeteria do Bairro (compra à vista),55.48,Alimentação
Compra em Livraria Cultura (via cartão),145.03,Educação
Consumo em Papelaria Central (compra do mês),2751.26,Educação
Cobrança recorrente - Google One (cobrança automática),467.54,Serviços
Serviço prestado - Neoenergia (pedido via app),3667.27,Moradia
Transação - Padaria Pão Quente (uso pessoal),296.83,Alimentação
Recebimento de freelance,2631.14,Receitas
Pagamento de fatura - UCI Cinemas (uso pessoal),605.27,Lazer
Compra em Drogasil (unidade próxima),1213.08,Saúde
Compra online - Leroy Merlin (loja shopping),2173.96,Moradia
Pagamento - Livraria Saraiva (via cartão),2604.71,Educação
Rendimento de investimento - Tesouro Direto,3293.21,Receitas
Depósito de salário,1895.07,Receitas
Depósito de salário,1978.5,Receitas
Compra online - C&C Casa e Construção (compra à vista),3325.93,Moradia
Serviço prestado - iFood (unidade centro),383.57,Alimentação
Pagamento de fatura - Sabesp (compra do mês),470.61,Moradia
Despesa - Cafeteria do Bairro (loja shopping),549.46,Alimentação
Débito - Estapar Estacionamento,186.63,Transporte
Serviço prestado - Bilhete Único,254.07,Transporte
Débito - Renner,992.61,Compras
Transação - Restaurante Sabor Caseiro (compra do mês),658.99,Alimentação
PIX recebido de terceiro,899.31,Receitas
Recebimento de freelance,4501.39,Receitas
Cobrança recorrente - iCloud Armazenamento (plano mensal),419.81,Serviços
Pagamento de conta - Coursera (pedido via app),1178.7,Educação
Salário mensal - Recepcionista,2031.94,Receitas
Pagamento de conta - Ingresso.com - Show (parcelado em 4x),1159.72,Lazer
Compra online - Booking.com (compra do mês),1700.45,Lazer
Débito - Despachante Rápido (compra do mês),889.76,Outros
Compra online - Coffee Lab (pedido via app),124.61,Alimentação
Compra em Correios (unidade centro),439.71,Serviços
PLR - Participação nos Lucros,5088.01,Receitas
Pagamento - Fast Shop (via cartão),2696.23,Compras
Débito - Clínica Odontológica Sorriso (loja shopping),740.5,Saúde
Despesa - iFood,562.88,Alimentação
Depósito de salário,2064.2,Receitas
Pagamento de salário - Dezembro,2130.97,Receitas
Mensalidade - iCloud Armazenamento (plano mensal),452.73,Serviços
Bônus anual da empresa,4989.64,Receitas
Compra online - Correios (unidade próxima),106.51,Serviços
Compra online - Cinemark (pedido via app),1072.64,Lazer
Recebimento de dividendos,2273.75,Receitas
Transação - VLT (pedido via app),307.66,Transporte
Compra online - Sushi House (pedido via app),101.94,Alimentação
Débito automático - Bluefit (via cartão cadastrado),189.02,Saúde
Serviço prestado - Ingresso.com - Show (parcelado em 8x),1675.44,Lazer
Mensalidade - iCloud Armazenamento (fatura do mês),94.31,Serviços
Consumo em Extra (compra à vista),275.82,Alimentação
Pagamento - Burger King (unidade centro),102.45,Alimentação
Consumo em Cinemark (pedido via app),810.37,Lazer
Assinatura mensal - SulAmérica Seguros (fatura do mês),62.47,Serviços
Pagamento - Posto BR Mania (compra do mês),202.95,Transporte
Pagamento de conta - Burger King (unidade próxima),667.27,Alimentação
Pagamento de conta - InDriver (loja shopping),64.63,Transporte
Consumo em Correios (unidade próxima),357.13,Serviços
Compra online - Shopee (via cartão),1141.68,Compras
Consumo em Droga Raia (uso pessoal),253.15,Saúde
Despesa - UCI Cinemas (uso pessoal),1020.14,Lazer
Pagamento de conta - Casas Bahia (parcelado em 5x),230.33,Compras
Consumo em Escola Municipal Monteiro Lobato (parcelado em 3x),1617.48,Educação
Débito - Rappi (unidade próxima),776.59,Alimentação
Restituição de Imposto de Renda,3948.24,Receitas
Transação - Tesouro Direto - Aplicação (unidade centro),4403.71,Investimentos
Débito - Ipiranga (unidade próxima),403.96,Transporte
Compra em Ipiranga (compra à vista),243.0,Transporte
Compra online - Tesouro Direto - Aplicação (compra do mês),2678.79,Investimentos
Compra online - Coffee Lab (via cartão),713.23,Alimentação
Despesa - Padaria e Confeitaria Doce Vida (unidade centro),724.48,Alimentação
Pagamento - Taxa Bancária (unidade próxima),924.17,Outros
Débito - Rico Investimentos - Aporte (uso pessoal),4623.48,Investimentos
Compra em Auto Center Roda Viva,267.93,Transporte
Compra online - Imobiliária Lopes - Aluguel (unidade centro),4601.54,Moradia
Compra em Padaria e Confeitaria Doce Vida,493.68,Alimentação
Consumo em Ultragaz (unidade centro),5582.68,Moradia
Assinatura mensal - Colégio Objetivo (renovação do plano),2614.63,Educação
Débito - Açougue Boi Gordo (pedido via app),356.57,Alimentação
Consumo em Ônibus Urbano,275.95,Transporte
Pagamento de fatura - Uber Eats (uso pessoal),53.21,Alimentação
Despesa - Zona Azul (loja shopping),258.51,Transporte
Pagamento - Cafeteria do Bairro (via cartão),131.98,Alimentação
Salário mensal - Motorista,3023.94,Receitas
Compra em Starbucks (loja shopping),185.24,Alimentação
Pagamento de conta - Cobasi (uso pessoal),327.68,Pets
Pagamento de salário - Março,3113.82,Receitas
Recebimento de dividendos,2282.71,Receitas
Débito - Sympla - Evento,401.59,Lazer
PLR - Participação nos Lucros,3808.24,Receitas
Pagamento de fatura - Salão de Beleza Charme,343.96,Serviços
Compra online - 99 (uso pessoal),58.24,Transporte
13º salário - segunda parcela,13747.44,Receitas
Serviço prestado - QuintoAndar - Aluguel (unidade próxima),1715.26,Moradia
Depósito de salário,3263.84,Receitas
Serviço prestado - Bar do Zé (compra à vista),244.14,Lazer
Pagamento de conta - Restaurante Cantina Italiana (pedido via app),711.33,Alimentação
Serviço prestado - Churrascaria Boi na Brasa (unidade centro),156.44,Alimentação
Pagamento de fatura - Bar do Zé (compra do mês),640.65,Lazer
Pagamento - CDB Banco Inter (loja shopping),988.63,Investimentos
Compra online - Tesouro Direto - Aplicação (pedido via app),3960.4,Investimentos
Compra online - Magazine Luiza (via cartão),1528.89,Compras
Pagamento de salário - Setembro,7033.92,Receitas
Pagamento de conta - McDonald's (unidade próxima),182.56,Alimentação
Pagamento de fatura - Açougue Casa da Carne (compra à vista),784.02,Alimentação
PIX recebido de terceiro,1840.18,Receitas
Consumo em Kinoplex (via cartão),739.12,Lazer
Cobrança recorrente - Colégio Anglo (via cartão cadastrado),2319.26,Educação
Transação - Cinemark (compra do mês),256.01,Lazer
Pagamento de conta - Posto BR Mania (via cartão),276.98,Transporte
Rendimento de investimento - CDB,5105.92,Receitas
Pagamento de conta - Mercado Livre (unidade centro),1294.3,Compras
Pagamento de fatura - CDB Banco Inter (unidade próxima),4342.75,Investimentos
Pagamento de conta - Carrefour (unidade próxima),369.41,Alimentação
Despesa - Riachuelo (compra à vista),304.98,Compras
Compra em Sabesp (pedido via app),342.89,Moradia
Compra em Livraria Saraiva (loja shopping),2528.7,Educação
Pagamento de salário - Janeiro,7561.74,Receitas
Mensalidade - Spotify (renovação do plano),33.29,Lazer
Compra online - Metrô (unidade próxima),109.89,Transporte
Venda online - Marketplace,1458.82,Receitas
Serviço prestado - Ingresso.com - Show (unidade próxima),1257.33,Lazer
Compra em Enel (compra do mês),3534.82,Moradia
Pagamento de conta - Farmácia São João (loja shopping),1743.91,Saúde
PLR - Participação nos Lucros,7038.92,Receitas
Débito automático - Porto Seguro (renovação do plano),302.55,Serviços
Pagamento - Coffee Lab (unidade próxima),247.36,Alimentação
Cobrança recorrente - Netflix (fatura do mês),54.39,Lazer
Recebimento de dividendos,1667.62,Receitas
Mensalidade - iCloud Armazenamento,325.72,Serviços
Compra em Fast Shop (uso pessoal),472.08,Compras
Consumo em Sympla - Evento (compra à vista),1234.88,Lazer
Débito - Restaurante Self-Service (compra do mês),730.55,Alimentação
Transação - 99 (loja shopping),57.15,Transporte
Débito - BTG Pactual - Aporte (compra do mês),3948.24,Investimentos
Mensalidade - TIM (fatura do mês),127.4,Serviços
Mensalidade - Amil (cobrança automática),713.14,Saúde
Consumo em Rico Investimentos - Aporte (uso pessoal),1591.2,Investimentos
Salário mensal - Designer Gráfico,7400.5,Receitas
Assinatura mensal - Amazon Prime Video,19.43,Lazer
Transação - Claro Residencial (compra à vista),1933.69,Moradia
Depósito de salário,7377.71,Receitas
Depósito de salário,2994.71,Receitas
Pagamento de fatura - Açougue Boi Gordo (unidade próxima),664.31,Alimentação
Pagamento por serviço prestado (freelance),5912.36,Receitas
